optimizer,learning_rate,weight_decay,momentum,seed,resolved_seed,validation_accuracy,validation_loss,best_validation_epoch,training_time_seconds,uses_test_split
RMSProp,0.001,0.005,0.0,42,1326751566,0.602,1.8744386434555054,45,4.561118165991502,False
RMSProp,0.001,0.005,0.0,43,326786782,0.526,1.8918732404708862,19,3.079911345994333,False
RMSProp,0.001,0.005,0.0,44,1907655278,0.52,1.8665471076965332,13,2.9371976960101165,False
RMSProp,0.003,0.0,0.0,42,1326751566,0.778,0.851201593875885,169,2.8000388159998693,False
RMSProp,0.003,0.0,0.0,43,326786782,0.786,0.8774128556251526,61,2.7282730030128732,False
RMSProp,0.003,0.0,0.0,44,1907655278,0.77,0.8841726779937744,175,2.8451532530016266,False
RMSProp,0.003,0.0005,0.0,42,1326751566,0.77,1.0941598415374756,53,3.1484098399814684,False
RMSProp,0.003,0.0005,0.0,43,326786782,0.78,1.1625949144363403,51,3.4923862520081457,False
RMSProp,0.003,0.0005,0.0,44,1907655278,0.79,1.1056640148162842,198,4.382071669999277,False
RMSProp,0.003,0.005,0.0,42,1326751566,0.584,1.7267266511917114,170,3.0147516390134115,False
RMSProp,0.003,0.005,0.0,43,326786782,0.524,1.7691999673843384,26,3.3001602689910214,False
RMSProp,0.003,0.005,0.0,44,1907655278,0.512,1.7462948560714722,5,3.346485260000918,False
RMSProp,0.01,0.0,0.0,42,1326751566,0.764,0.7434305548667908,21,2.7062061989854556,False
RMSProp,0.01,0.0,0.0,43,326786782,0.776,0.7787548899650574,61,2.764850355015369,False
RMSProp,0.01,0.0,0.0,44,1907655278,0.764,0.8151347041130066,21,2.6353696220030542,False
RMSProp,0.01,0.0005,0.0,42,1326751566,0.788,0.7819570899009705,12,3.131376437988365,False
RMSProp,0.01,0.0005,0.0,43,326786782,0.786,0.8090053200721741,43,3.2881049560091924,False
RMSProp,0.01,0.0005,0.0,44,1907655278,0.782,0.8082534670829773,49,3.26965152300545,False
RMSProp,0.01,0.005,0.0,42,1326751566,0.63,1.6320570707321167,186,3.0653311390196905,False
RMSProp,0.01,0.005,0.0,43,326786782,0.572,1.6392606496810913,198,3.7049056999967434,False
RMSProp,0.01,0.005,0.0,44,1907655278,0.532,1.637131929397583,172,3.0865701290022116,False
RMSProp,0.03,0.0,0.0,42,1326751566,0.778,0.8570118546485901,21,2.7085218080028426,False
RMSProp,0.03,0.0,0.0,43,326786782,0.774,0.9779134392738342,190,2.6691591790004168,False
RMSProp,0.03,0.0,0.0,44,1907655278,0.76,1.0110050439834595,21,2.6328827060060576,False
RMSProp,0.03,0.0005,0.0,42,1326751566,0.798,0.7057662010192871,49,3.428789325989783,False
RMSProp,0.03,0.0005,0.0,43,326786782,0.806,0.7328072190284729,57,3.3853121290158015,False
